"vessel_code","datetime","latitude","longitude","power","fuel_consumption","actual_speed_overground","proposed_speed_overground","predicted_fuel_consumption"
"3001","2023-10-06 04:20:00","44.5504570007324","-50.9818534851074","5177.93","17.9337","8.71998","8.88423160724342","16.8887626970187"
"3001","2023-10-06 04:21:00","44.5490226745605","-50.9790992736816","5256.03","17.6948","8.77998","8.19764228053391","16.888014056161"
"3001","2023-10-06 04:22:00","44.5474967956543","-50.9764137268066","5123.09","17.2017","8.79998","9.7530567439273","15.4870205301791"
"3001","2023-10-06 04:23:00","44.5459175109863","-50.9738082885742","5092.49","16.3098","8.71999","9.26687041185796","15.4720774753019"
"3001","2023-10-06 04:24:00","44.5442924499512","-50.971263885498","4878.27","16.9507","8.83999","8.68742630146444","15.5859403101727"
"3001","2023-10-06 04:25:00","44.5426254272461","-50.9687271118164","4803.61","15.8077","8.79998","9.18048371821642","14.4261399772018"
"3001","2023-10-06 04:26:00","44.541015625","-50.9661331176758","4863.78","15.9388","8.63998","9.75323453526944","15.7093647135422"
"3001","2023-10-06 04:27:00","44.5395393371582","-50.9634284973145","5124.57","16.5978","8.63998","9.19830220639706","14.9468983657658"
"19310","2023-10-06 04:27:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3001","2023-10-06 04:28:00","44.5381546020508","-50.9606742858887","5269","17.4775","8.53998","9.28164017088711","17.5738266309723"
"3001","2023-10-06 04:29:00","44.5367889404297","-50.9579315185547","5332.84","17.805","8.57998","9.41843617316335","17.2971304323524"
"3001","2023-10-06 04:30:00","44.535327911377","-50.9552307128906","5295.96","17.5015","8.61998","8.46696435455233","16.5203735310584"
"3001","2023-10-06 04:31:00","44.5337791442871","-50.9526290893555","5127.46","16.0607","8.63998","9.14853520859033","14.1973389241844"
"3001","2023-10-06 04:32:00","44.5321159362793","-50.9501304626465","4869.34","15.9662","8.63998","8.92757563367486","15.7137205343693"
"3001","2023-10-06 04:33:00","44.5304641723633","-50.9476318359375","4933.51","16.6627","8.65999","8.43547302000225","15.2036054249853"
"3001","2023-10-06 04:34:00","44.528865814209","-50.9450187683105","4943.22","16.6833","8.63998","8.15910665206611","16.0784659622237"
"3001","2023-10-06 04:35:00","44.5273475646973","-50.9423789978027","4922.25","16.328","8.59998","9.58862691354006","15.0945677528158"
"3001","2023-10-06 04:36:00","44.5258941650391","-50.9396896362305","5068.43","34.5275","8.61998","8.65953995082527","33.9941960930824"
"3001","2023-10-06 04:37:00","44.5244789123535","-50.9369506835938","5255.66","17.7703","8.59998","9.20344716385007","17.6343741299585"
"3001","2023-10-06 04:38:00","44.5230255126953","-50.934253692627","5253.87","17.4552","8.59998","9.55991256125271","17.355178832449"
"3001","2023-10-06 04:39:00","44.5214767456055","-50.9316368103027","5173.84","17.4118","8.65999","9.59656207337975","17.4437180723995"
"19310","2023-10-06 04:39:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3001","2023-10-06 04:40:00","44.5198707580566","-50.9290618896484","5013.84","16.2893","8.73998","9.24888011608273","15.1470115728676"
"3001","2023-10-06 04:41:00","44.5182304382324","-50.9265289306641","4886.93","16.1493","8.65999","8.72512280642986","14.3134973080829"
"3001","2023-10-06 04:42:00","44.5166091918945","-50.9240074157715","4877.09","16.5645","8.67498","9.0297370057553","15.0695045351982"
"3001","2023-10-06 04:43:00","44.5151863098145","-50.921703338623","4845.31","15.9475","8.59998","8.58264771178365","14.3471586950123"
"3001","2023-10-06 04:44:00","44.5138702392578","-50.9193153381348","5077.15","17.1975","8.51998","7.90732062868774","17.0444151390344"
"3001","2023-10-06 04:45:00","44.5124740600586","-50.916618347168","5195.95","17.1475","8.43997","7.98237607423216","16.4021768443286"
"3001","2023-10-06 04:46:00","44.5111083984375","-50.9139099121094","5319.62","19.0467","8.45998","8.77237967289984","18.5101954996586"
"3001","2023-10-06 04:47:00","44.509708404541","-50.9112281799316","5192.25","17.0625","8.51998","9.26886348407715","16.6595953250304"
"3001","2023-10-06 04:48:00","44.5082168579102","-50.9085578918457","5156.72","16.3295","8.55998","9.22722806762904","15.9170339558274"
"3001","2023-10-06 04:49:00","44.5066757202148","-50.9060096740723","4991.07","16.1873","8.49998","8.01657174322754","15.1528122102842"
"3001","2023-10-06 04:50:00","44.5050773620605","-50.9034996032715","5040.39","16.2895","8.51998","8.56007564142346","14.8911386676133"
"19310","2023-10-06 04:51:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3001","2023-10-06 04:51:00","44.5035057067871","-50.9009475708008","5059.77","16.4287","8.57998","8.94760669842362","15.2709383996204"
"3001","2023-10-06 04:52:00","44.501953125","-50.898365020752","5050.34","16.3555","8.55998","8.79689175244421","15.4644071798772"
"3001","2023-10-06 04:53:00","44.5004348754883","-50.8957443237305","5078.2","17.3213","8.59998","9.51117854453623","15.6765531435609"
"3001","2023-10-06 04:54:00","44.4989547729492","-50.8930892944336","5020.46","16.6762","8.59998","9.28383982721716","16.4600623914972"
"3001","2023-10-06 04:55:00","44.4974746704102","-50.8904151916504","5076.32","16.4772","8.59998","9.18393360991031","16.0393005874008"
"3001","2023-10-06 04:56:00","44.4959945678711","-50.8877449035645","5015.69","16.1282","8.59998","8.96981873810291","15.2022949870676"
"3001","2023-10-06 04:57:00","44.4945373535156","-50.8850593566895","5131.44","17.0612","8.59998","9.19546928703785","15.9242944199592"
"3001","2023-10-06 04:58:00","44.4930763244629","-50.8823318481445","5187.24","17.1373","8.61998","9.21394079159945","15.4723800340667"
"3001","2023-10-06 04:59:00","44.491584777832","-50.8796195983887","5189.59","16.9422","8.67999","9.44324085377157","15.9068379182369"
"3001","2023-10-06 05:00:00","44.4900093078613","-50.8770027160645","4961.16","16.4405","8.75998","9.03600809331983","15.0437700044364"
"3001","2023-10-06 05:01:00","44.4883918762207","-50.8744239807129","4927.22","16.7133","8.81998","8.25258500855416","15.8082939911634"
"3001","2023-10-06 05:02:00","44.4867744445801","-50.8718338012695","4714.37","15.0222","8.85999","8.98479616343975","13.7331789642572"
